StudentID,Feedback
101,"The food in the hostel mess needs improvement."
102,"Professors in AI are very supportive and helpful."
103,"Library timings should be extended during exams."
104,"Wi-Fi connectivity in the hostel is very slow."
105,"The Tech Fest was excellent with great speakers."
106,"Hostel rooms are clean but water supply is irregular."
107,"More practical sessions are needed in core subjects."
108,"Cultural Fest was enjoyable and well organized."
109,"Canteen prices are high for students."
110,"Sports facilities need better maintenance."
111,"Placement training sessions are helpful but should start earlier."
112,"Classrooms are well equipped with projectors and smart boards."
113,"Washroom cleanliness in academic blocks needs improvement."
114,"Guest lectures provide valuable industry exposure."
115,"Parking space for two-wheelers is insufficient."
116,"Online portal for assignments is easy to use."
117,"Exam schedules are sometimes released too late."
118,"Medical facilities on campus are reliable and accessible."
119,"Some courses have outdated syllabus content."
120,"Campus security staff are polite and responsive."
121,"Hostel food quality has improved compared to last semester."
122,"More internships should be facilitated by the college."
123,"The admission process was smooth and well managed."
124,"Power outages in hostels disrupt evening study time."
125,"Faculty feedback on assignments is detailed and useful."
126,"Extra-curricular clubs need better funding and promotion."
127,"The campus is clean and environmentally friendly."
128,"Transportation facilities should have more bus frequency."
129,"Research labs are well maintained and accessible."
130,"Counseling services should be more actively promoted to students."

