Category,Event Name,Month/Date,Description
Technical,TechFest,March,Annual technical symposium
Technical,Hackathon Week,January,Week-long coding and innovation event
Technical,AI & Data Science Conference,April,Conference on AI and Data Science trends
Cultural,Cultural Fest,November,Annual cultural celebration
Cultural,Freshers Day,August,Welcome event for new students
Cultural,Farewell Night,April,Farewell event for final-year students
Sports,Inter-University Sports Meet,February,Competition with other universities
Sports,Annual Sports Day,December,Yearly sports event
Holiday,Independence Day,August 15,National holiday
Holiday,Republic Day,January 26,National holiday
Holiday,University Foundation Day,September 5,University establishment day
